emp_no,dept_no
10001,d005
10004,d004
10009,d006
10018,d004
10018,d005
10035,d004
10053,d007
10058,d001
10066,d005
10067,d006
10070,d005
10070,d008
10072,d005
10076,d005
10088,d007
10088,d009
10100,d003
10103,d005
10126,d009
10129,d005
10130,d004
10134,d004
10134,d005
10138,d006
10150,d005
10153,d005
10157,d005
10198,d005
10215,d007
10224,d004
10233,d003
10258,d005
10272,d002
10282,d004
10283,d005
10326,d008
10340,d001
10347,d008
10355,d007
10356,d008
10364,d004
10372,d004
10387,d009
10396,d005
10402,d006
10404,d005
10426,d005
10429,d005
10432,d009
10451,d004
10453,d009
10463,d007
10486,d006
10494,d004
10504,d007
10512,d003
10522,d003
10548,d001
10548,d007
10564,d004
10623,d005
10623,d008
10628,d005
10631,d005
10642,d005
10653,d005
10671,d003
10676,d005
10693,d009
10702,d005
10718,d005
10726,d005
10734,d004
10745,d004
10749,d004
10767,d007
10768,d004
10778,d001
10791,d005
10795,d007
10808,d005
10835,d004
10836,d007
10836,d009
10844,d005
10847,d008
10848,d004
10878,d007
10879,d005
10883,d004
10909,d005
10921,d004
10924,d007
10927,d001
10936,d003
10943,d005
10965,d007
10969,d005
10974,d005
10986,d005
10988,d005
10989,d002
10990,d005
11009,d007
11012,d001
11012,d009
11019,d005
11021,d008
11027,d004
11031,d001
11037,d004
11038,d008
11042,d005
11048,d007
11050,d001
11051,d004
11070,d006
11081,d002
11085,d004
11100,d008
11106,d005
11112,d009
11113,d001
11121,d005
11133,d006
11134,d006
11137,d005
11139,d009
11146,d007
11148,d002
11148,d003
11162,d005
11180,d005
11197,d007
11204,d004
11207,d005
11208,d004
11211,d004
11217,d004
11232,d009
11240,d005
11249,d005
11251,d001
11268,d004
11275,d005
11290,d005
11295,d002
11319,d005
11320,d001
11322,d006
11324,d004
11338,d007
11339,d004
11347,d005
11365,d004
11376,d008
11380,d005
11385,d004
11386,d006
11393,d004
11398,d002
11404,d005
11415,d004
11421,d004
11441,d007
11449,d004
11459,d003
11469,d004
11506,d007
11509,d005
11513,d002
11515,d007
11518,d003
11524,d005
11527,d001
11528,d004
11537,d007
11554,d001
11554,d003
11555,d003
11567,d007
11568,d005
11603,d002
11607,d004
11615,d007
11624,d004
11628,d005
11628,d008
11640,d005
11647,d005
11660,d007
11673,d004
11676,d004
11681,d004
11684,d001
11696,d007
11732,d004
11732,d009
11735,d009
11746,d007
11751,d008
11764,d004
11769,d005
11769,d008
11772,d005
11797,d001
11797,d007
11810,d005
11817,d007
11832,d005
11844,d005
11853,d001
11857,d007
11864,d009
11871,d005
11872,d001
11894,d005
11897,d007
11906,d005
11915,d004
11931,d008
11933,d005
11949,d004
11983,d005
11993,d003
12011,d007
12036,d001
12036,d007
12037,d009
12050,d004
12062,d003
12069,d005
12070,d005
12076,d007
12082,d007
12089,d003
12099,d007
12112,d002
12122,d004
12123,d008
12125,d004
12125,d005
12149,d007
12159,d005
12165,d005
12183,d006
12192,d006
12205,d005
12206,d005
12218,d006
12221,d005
12222,d002
12223,d004
12247,d005
12249,d005
12256,d003
12264,d005
12270,d008
12272,d003
12308,d002
12308,d003
12311,d005
12327,d005
12341,d005
12343,d004
12343,d009
12365,d004
12373,d007
12395,d002
12399,d007
12411,d007
12413,d004
12417,d004
12422,d003
12454,d007
12464,d007
12475,d005
12487,d002
12487,d003
12489,d005
12490,d005
12497,d007
12501,d002
12504,d004
12514,d005
12528,d009
12534,d004
12541,d007
12542,d003
12551,d004
12553,d003
12557,d004
12557,d006
12589,d005
12596,d003
12601,d005
12608,d003
12635,d004
12635,d009
12638,d005
12642,d001
12651,d007
12662,d005
12663,d005
12664,d007
12664,d009
12689,d005
12691,d004
12697,d003
12709,d005
12717,d008
12722,d002
12726,d005
12729,d004
12729,d009
12731,d003
12732,d007
12734,d005
12755,d003
12773,d005
12790,d007
12795,d002
12798,d007
12803,d001
12803,d007
12815,d008
12819,d004
12848,d005
12863,d004
12872,d007
12879,d005
12890,d007
12893,d007
12895,d004
12905,d005
12926,d008
12940,d005
12941,d005
12949,d005
12977,d005
12983,d002
13030,d001
13046,d002
13047,d005
13075,d001
13075,d007
13076,d005
13096,d006
13103,d005
13124,d007
13133,d001
13133,d009
13134,d004
13144,d002
13146,d007
13147,d007
13156,d005
13165,d006
13168,d004
13170,d002
13170,d003
13171,d006
13173,d007
13179,d007
13182,d004
13186,d007
13192,d004
13192,d005
13202,d008
13210,d001
13210,d007
13213,d007
13232,d005
13233,d005
13238,d007
13240,d005
13250,d004
13272,d009
13276,d002
13288,d003
13291,d005
13302,d005
13315,d005
13332,d004
13333,d004
13333,d005
13341,d001
13343,d002
13343,d003
13368,d003
13371,d004
13373,d002
13373,d003
13385,d003
13386,d005
13389,d008
13392,d007
13396,d009
13402,d005
13402,d008
13405,d007
13407,d004
13408,d004
13415,d006
13422,d004
13422,d006
13442,d003
13443,d006
13445,d004
13451,d003
13457,d006
13458,d004
13458,d009
13463,d004
13465,d004
13493,d005
13504,d005
13524,d007
13535,d004
13546,d004
13549,d005
13552,d008
13576,d005
13576,d008
13605,d007
13621,d005
13624,d003
13629,d005
13648,d004
13653,d003
13670,d005
13680,d007
13685,d005
13697,d005
13704,d004
13721,d007
13727,d003
13738,d005
13766,d009
13769,d007
13775,d007
13786,d007
13787,d004
13792,d002
13796,d005
13809,d009
13815,d004
13825,d004
13841,d004
13841,d006
13842,d008
13846,d008
13853,d008
13859,d005
13884,d004
13894,d004
13904,d005
13934,d005
13942,d005
13951,d007
13960,d002
13962,d004
13966,d009
13969,d005
13990,d005
13992,d002
13999,d003
14005,d005
14005,d006
14015,d004
14015,d006
14034,d002
14041,d001
14067,d004
14088,d008
14107,d001
14111,d009
14118,d009
14167,d004
14191,d005
14209,d008
14220,d004
14232,d005
14236,d008
14237,d004
14237,d009
14242,d009
14257,d004
14257,d009
14290,d004
14292,d008
14298,d004
14310,d007
14320,d004
14322,d005
14323,d004
14323,d009
14340,d004
14344,d004
14354,d007
14360,d008
14372,d005
14372,d008
14384,d005
14422,d004
14434,d005
14439,d006
14460,d004
14478,d007
14481,d004
14483,d005
14486,d004
14498,d003
14501,d004
14509,d002
14513,d001
14513,d007
14515,d006
14516,d007
14518,d004
14522,d002
14537,d006
14552,d005
14556,d004
14560,d005
14581,d005
14582,d005
14600,d009
14603,d005
14607,d007
14620,d004
14621,d007
14632,d006
14639,d007
14640,d005
14642,d005
14645,d005
14648,d007
14659,d006
14675,d003
14677,d004
14683,d004
14683,d009
14690,d005
14693,d009
14710,d001
14723,d003
14724,d002
14780,d004
14785,d004
14785,d009
14793,d005
14814,d009
14817,d005
14817,d008
14821,d005
14839,d005
14853,d005
14877,d005
14879,d005
14888,d007
14899,d002
14899,d007
14906,d008
14908,d004
14908,d005
14909,d005
14911,d004
14914,d005
14915,d004
14923,d005
14928,d003
14941,d005
14942,d006
14949,d004
14954,d005
14971,d002
14983,d001
14993,d005
15005,d004
15016,d002
15018,d001
15019,d004
15019,d006
15029,d009
15030,d007
15036,d005
15049,d009
15052,d004
15055,d008
15066,d005
15069,d004
15071,d007
15075,d004
15077,d004
15082,d005
15087,d004
15089,d005
15092,d009
15102,d004
15105,d001
15105,d007
15114,d005
15134,d007
15145,d004
15151,d001
15151,d007
15176,d007
15193,d005
15196,d005
15202,d004
15202,d005
15208,d008
15218,d002
15228,d003
15230,d005
15234,d005
15237,d005
15243,d002
15248,d001
15253,d004
15269,d004
15271,d007
15292,d007
15324,d004
15329,d005
15330,d007
15337,d006
15343,d006
15354,d009
15365,d005
15369,d007
15370,d005
15370,d008
15372,d007
15375,d002
15377,d005
15382,d007
15392,d005
15408,d008
15410,d001
15410,d007
15412,d005
15438,d002
15441,d008
15452,d005
15454,d007
15470,d004
15474,d007
15479,d004
15480,d005
15504,d005
15505,d004
15510,d005
15511,d007
15518,d005
15525,d005
15534,d002
15543,d004
15548,d005
15548,d008
15563,d009
15565,d001
15566,d007
15600,d004
15601,d007
15651,d004
15656,d001
15682,d006
15687,d002
15703,d005
15708,d007
15714,d004
15715,d001
15715,d007
15726,d001
15739,d005
15740,d007
15750,d004
15765,d005
15767,d004
15769,d001
15788,d004
15799,d007
15809,d002
15819,d001
15819,d007
15821,d005
